page	event	quadrant	sample_name	position	oscillating_cn_2&3_states	cn_segments	image_path
165	2	Upper_Right	OCCAMS-WG-008		4, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_165_part_2.png
165	3	Lower_Left	05fbd98c-28bd-41bc-ae60-16ac0c16c723		39, 3		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_165_part_3.png
165	4	Lower_Right	05fbd98c-28bd-41bc-ae60-16ac0c16c723		39, 3		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_165_part_4.png
166	1	Upper_Left	0956bc67-dd55-4c54-a56a-f22f2856662a		75, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_166_part_1.png
166	2	Upper_Right	ba9d4568-71a8-41fc-a2be-0bf784e36d6a		8, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_166_part_2.png
166	3	Lower_Left	ba9d4568-71a8-41fc-a2be-0bf784e36d6a		8, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_166_part_3.png
166	4	Lower_Right	e8ac39e6-377a-412c-b18d-f6c4fc654ec6		46, 3		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_166_part_4.png
167	1	Upper_Left	OSCC-GB_012501		55, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_167_part_1.png
167	2	Upper_Right	b08dfba8-6afb-4217-9259-72be6f1f3363		77, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_167_part_2.png
167	3	Lower_Left	9da334ed-314c-4445-ba29-ffd9bb42403c		71, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_167_part_3.png
167	4	Lower_Right	71b35cd8-ecee-4599-bb24-b1ef78118423		7, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_167_part_4.png
168	1	Upper_Left	C0009		41, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_168_part_1.png
168	2	Upper_Right	C0046		46, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_168_part_2.png
168	3	Lower_Left	C0075		64, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_168_part_3.png
168	4	Lower_Right	18c08546-bed3-4ed9-b223-479afe633c8e		8, 3		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_168_part_4.png
169	1	Upper_Left	4bbdbe77-f3cb-4b64-9826-72debb734784		82, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_169_part_1.png
169	2	Upper_Right	4bbdbe77-f3cb-4b64-9826-72debb734784		82, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_169_part_2.png
169	3	Lower_Left	68015cc7-d3a1-4c90-b8fb-5d14143d9960		83, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_169_part_3.png
169	4	Lower_Right	8afa3140-dcbd-44c0-ab13-4ada6a0444d4		84, 3		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_169_part_4.png
170	1	Upper_Left	8afa3140-dcbd-44c0-ab13-4ada6a0444d4		84, 3		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_170_part_1.png
170	2	Upper_Right	8afa3140-dcbd-44c0-ab13-4ada6a0444d4		84, 3		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_170_part_2.png
170	3	Lower_Left	bd48fa5e-0152-46f0-a4fa-8cf723ff2dcd		57, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_170_part_3.png
170	4	Lower_Right	bd48fa5e-0152-46f0-a4fa-8cf723ff2dcd		57, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_170_part_4.png
171	1	Upper_Left	bd48fa5e-0152-46f0-a4fa-8cf723ff2dcd		57, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_171_part_1.png
171	2	Upper_Right	bd48fa5e-0152-46f0-a4fa-8cf723ff2dcd		57, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_171_part_2.png
171	3	Lower_Left	bee9d6c8-948f-4b76-97ca-b985064249ef		62, 3		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_171_part_3.png
171	4	Lower_Right	RK006		7, 11		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_171_part_4.png
172	1	Upper_Left	RK025		33, 4		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_172_part_1.png
172	2	Upper_Right	RK036		14, 11		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_172_part_2.png
172	3	Lower_Left	RK042		88, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_172_part_3.png
172	4	Lower_Right	RK070		6, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_172_part_4.png
173	1	Upper_Left	RK072		7, 4		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_173_part_1.png
173	2	Upper_Right	RK080		77, 3		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_173_part_2.png
173	3	Lower_Left	RK080		77, 3		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_173_part_3.png
173	4	Lower_Right	RK087		26, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_173_part_4.png
174	1	Upper_Left	RK087		26, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_174_part_1.png
174	2	Upper_Right	RK125		72, 3		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_174_part_2.png
174	3	Lower_Left	RK148		9, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_174_part_3.png
174	4	Lower_Right	RK148		9, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_174_part_4.png
175	1	Upper_Left	RK207		38, 3		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_175_part_1.png
175	2	Upper_Right	RK216		84, 3		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_175_part_2.png
175	3	Lower_Left	RK234		76, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_175_part_3.png
175	4	Lower_Right	RK244		86, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_175_part_4.png
176	1	Upper_Left	RK245		47, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_176_part_1.png
176	2	Upper_Right	RK258		17, 3		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_176_part_2.png
176	3	Lower_Left	RK261		7, 40		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_176_part_3.png
176	4	Lower_Right	RK261		11, 13		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_176_part_4.png
177	1	Upper_Left	RK283		25, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_177_part_1.png
177	2	Upper_Right	RK289		15, 34		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_177_part_2.png
177	3	Lower_Left	RK304		25, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_177_part_3.png
177	4	Lower_Right	RK304		25, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_177_part_4.png
